epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.892,1.09012,2.66106,1.46491,0.56018,0.32626,0.61444,0.40227,1.20256,2.96379,2.12991,0.000463798,0.000463798,0.000463798
2,227.624,1.11529,1.98629,1.47764,0.44941,0.51529,0.55513,0.32756,1.21522,2.64666,2.00716,0.000926835,0.000926835,0.000926835
3,330.424,1.12945,1.86792,1.47471,0.76793,0.49203,0.56416,0.33518,1.41352,2.97293,2.13601,0.0013764,0.0013764,0.0013764
4,432.762,1.1323,1.80413,1.47679,0.5845,0.67519,0.69295,0.39274,1.26318,3.9839,2.12349,0.00136837,0.00136837,0.00136837
5,536.616,1.16897,1.78062,1.50506,0.56574,0.72101,0.63981,0.408,1.16213,3.08627,2.00983,0.00134816,0.00134816,0.00134816
6,638.559,1.1507,1.73487,1.51039,0.80523,0.65652,0.75379,0.45783,1.44385,2.34947,2.07334,0.00132795,0.00132795,0.00132795
7,740.596,1.14992,1.66831,1.46673,0.68982,0.70883,0.77141,0.50465,1.06262,2.15185,1.69333,0.00130774,0.00130774,0.00130774
8,842.971,1.11893,1.60853,1.46513,0.81116,0.82389,0.8965,0.62176,1.02872,1.83531,1.61551,0.00128753,0.00128753,0.00128753
9,946.015,1.07282,1.50385,1.43028,0.44364,0.66112,0.5991,0.41635,1.08306,2.56668,1.69085,0.00126732,0.00126732,0.00126732
10,1053.33,1.04441,1.47597,1.41714,0.80853,0.7764,0.848,0.6112,1.03665,1.63781,1.6362,0.00124711,0.00124711,0.00124711
11,1157.29,1.05246,1.42136,1.38845,0.75813,0.7741,0.72246,0.52224,1.09821,2.01638,1.72205,0.0012269,0.0012269,0.0012269
12,1263.93,1.05783,1.36716,1.4077,0.76264,0.79733,0.84328,0.54636,1.23664,1.67022,1.83966,0.00120669,0.00120669,0.00120669
13,1362.83,1.07491,1.33685,1.40564,0.7541,0.89069,0.91213,0.66612,0.93741,1.56373,1.55157,0.00118648,0.00118648,0.00118648
14,1460.3,1.09883,1.42326,1.42335,0.88415,0.87542,0.93435,0.69061,0.96404,1.21413,1.53116,0.00116627,0.00116627,0.00116627
15,1556.92,1.05542,1.2855,1.39337,0.78494,0.79427,0.81258,0.62122,0.92909,1.41541,1.50345,0.00114606,0.00114606,0.00114606
16,1653.12,0.98667,1.20776,1.35676,0.85013,0.8166,0.90835,0.68631,0.93393,1.28937,1.5288,0.00112585,0.00112585,0.00112585
17,1749.66,0.98597,1.18189,1.34247,0.95982,0.85603,0.95256,0.72776,0.93639,1.12424,1.505,0.00110564,0.00110564,0.00110564
18,1847.39,1.03528,1.20348,1.37815,0.94446,0.91311,0.95881,0.71729,0.91637,1.073,1.49334,0.00108543,0.00108543,0.00108543
19,1942.58,1.00368,1.13355,1.36605,0.92888,0.89634,0.94338,0.70261,0.95832,1.01498,1.54232,0.00106522,0.00106522,0.00106522
20,2038.67,1.02015,1.1509,1.36211,0.80532,0.86087,0.94177,0.68071,0.93829,1.05293,1.4881,0.00104501,0.00104501,0.00104501
21,2139.99,0.9725,1.06398,1.32992,0.91014,0.89421,0.96491,0.73636,0.90688,0.88339,1.49019,0.0010248,0.0010248,0.0010248
22,2237.94,0.97278,1.04153,1.31903,0.86424,0.90407,0.94953,0.76145,0.83302,0.91784,1.38353,0.00100459,0.00100459,0.00100459
23,2333.89,0.96784,1.0447,1.30851,0.89712,0.94252,0.95186,0.71106,0.92558,0.87384,1.48596,0.000984377,0.000984377,0.000984377
24,2434.14,0.93655,0.98057,1.30002,0.89284,0.9153,0.92923,0.70459,0.93918,0.94624,1.48558,0.000964167,0.000964167,0.000964167
25,2529.74,0.95099,0.99542,1.30572,0.90892,0.94965,0.94863,0.72634,0.91515,0.94927,1.45169,0.000943957,0.000943957,0.000943957
26,2625.43,0.952,0.97932,1.30224,0.90019,0.81301,0.93011,0.66067,1.01499,1.05524,1.55511,0.000923746,0.000923746,0.000923746
27,2732.09,0.93229,0.94686,1.31049,0.9109,0.88651,0.95195,0.69642,0.93932,0.9862,1.51562,0.000903536,0.000903536,0.000903536
28,2858.51,0.9667,0.98598,1.2967,0.94077,0.90629,0.96433,0.76644,0.79425,0.81049,1.38388,0.000883326,0.000883326,0.000883326
29,2985.4,0.92906,0.9286,1.29513,0.90874,0.88053,0.95434,0.72955,0.87383,0.95002,1.42773,0.000863116,0.000863116,0.000863116
30,3111.48,0.8933,0.88807,1.26421,0.91896,0.93986,0.96586,0.76602,0.80898,0.73804,1.36132,0.000842906,0.000842906,0.000842906
31,3238.68,0.88952,0.89336,1.26756,0.87696,0.94777,0.94207,0.70853,0.91191,0.82666,1.43773,0.000822696,0.000822696,0.000822696
32,3364.92,0.86215,0.826,1.2225,0.86024,0.9435,0.94044,0.74255,0.78044,0.82772,1.34476,0.000802486,0.000802486,0.000802486
33,3491.11,0.85902,0.82965,1.25185,0.87098,0.91568,0.9084,0.71968,0.80289,0.76245,1.39572,0.000782275,0.000782275,0.000782275
34,3617.7,0.86108,0.86224,1.2453,0.88998,0.87973,0.92241,0.72309,0.81495,0.79833,1.41471,0.000762065,0.000762065,0.000762065
35,3743.64,0.88866,0.88163,1.24994,0.90452,0.92754,0.96608,0.75438,0.85142,0.74025,1.38979,0.000741855,0.000741855,0.000741855
36,3869.91,0.8403,0.84524,1.22392,0.98187,0.93986,0.98161,0.75604,0.92109,0.64955,1.45227,0.000721645,0.000721645,0.000721645
37,3998.01,0.85015,0.78644,1.23775,0.93056,0.98286,0.97618,0.78871,0.80043,0.68638,1.37158,0.000701435,0.000701435,0.000701435
38,4125.4,0.8735,0.84798,1.24826,0.87047,0.83454,0.90862,0.65525,0.94135,0.85074,1.46562,0.000681225,0.000681225,0.000681225
39,4251.44,0.82971,0.77752,1.22187,0.88408,0.92319,0.95108,0.76467,0.77588,0.69666,1.35438,0.000661015,0.000661015,0.000661015
40,4379.77,0.80983,0.77184,1.19604,0.92075,0.92795,0.95989,0.76048,0.80646,0.72,1.36599,0.000640804,0.000640804,0.000640804
41,4505.73,0.82415,0.78272,1.20345,0.91057,0.93768,0.97526,0.79322,0.77351,0.65532,1.33607,0.000620594,0.000620594,0.000620594
42,4630.79,0.76888,0.72551,1.18283,0.93199,0.94295,0.96322,0.78653,0.7777,0.63541,1.31916,0.000600384,0.000600384,0.000600384
43,4756.35,0.78928,0.7403,1.18662,0.92171,0.94288,0.96504,0.77277,0.79544,0.67151,1.34476,0.000580174,0.000580174,0.000580174
