epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3322,0.91623,2.86863,1.41935,0.00341,1,0.41499,0.32953,0.4702,3.37202,1.11102,0.00011669,0.00011669,0.00011669
2,45.6579,0.76155,2.44066,1.31806,0.00334,1,0.59721,0.49031,0.50473,3.17345,1.15495,0.000245099,0.000245099,0.000245099
3,67.9291,0.73239,1.93003,1.32603,0.29576,1,0.61462,0.50877,0.56604,2.98305,1.17544,0.000368227,0.000368227,0.000368227
4,89.7567,0.74773,1.6399,1.29517,0.45496,0.8,0.70729,0.50988,0.74122,2.95474,1.40427,0.000486074,0.000486074,0.000486074
5,111.523,0.79383,1.41879,1.37311,0.99493,0.4,0.78438,0.54509,0.75881,2.64938,1.46612,0.00059864,0.00059864,0.00059864
6,134.242,0.76282,1.39586,1.29221,0.66639,0.83544,0.95734,0.7301,0.81068,2.75475,1.54901,0.000705924,0.000705924,0.000705924
7,155.605,0.75917,1.28162,1.26609,0.85109,0.93221,0.96367,0.71642,0.86378,2.09433,1.61274,0.000807928,0.000807928,0.000807928
8,176.743,0.83073,1.4364,1.3579,0.95152,0.85,0.9647,0.66127,0.9653,1.94219,1.78275,0.000904651,0.000904651,0.000904651
9,198.533,0.79126,1.32269,1.34995,0.84839,0.91346,0.97667,0.78951,0.74443,2.12925,1.44425,0.000996093,0.000996093,0.000996093
10,224.216,0.7516,1.2683,1.27272,0.64822,0.86259,0.93548,0.65154,1.12368,2.72931,2.13287,0.00108225,0.00108225,0.00108225
11,251.105,0.82442,1.32043,1.3228,0.81222,0.8,0.86634,0.55775,1.17167,2.62492,2.09139,0.00116313,0.00116313,0.00116313
12,277.437,0.82416,1.28949,1.27225,0.84945,0.7,0.86172,0.59238,0.9782,2.33366,1.76694,0.00123873,0.00123873,0.00123873
13,304.9,0.73828,1.19355,1.26517,0.75278,0.65202,0.89064,0.62733,0.98308,2.77956,1.63141,0.00127092,0.00127092,0.00127092
14,330.458,0.74802,1.18017,1.21754,0.75863,0.64073,0.83797,0.65249,0.83554,2.55146,1.55045,0.00123791,0.00123791,0.00123791
15,357.363,0.77901,1.17105,1.27895,0.90133,0.85739,0.95864,0.78437,0.74299,1.74994,1.41317,0.00120491,0.00120491,0.00120491
16,383.644,0.72022,1.10053,1.21764,0.91943,0.9,0.96253,0.76235,0.69879,1.91293,1.33476,0.0011719,0.0011719,0.0011719
17,410.256,0.73612,1.25877,1.28511,0.8107,0.9,0.93156,0.70022,0.78072,1.73362,1.39416,0.00113889,0.00113889,0.00113889
18,438.432,0.6808,1.04489,1.21777,0.72868,0.85,0.89427,0.65579,0.95931,1.81659,1.58284,0.00110589,0.00110589,0.00110589
